Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Screen_Time_Level,Exceeded_Limit,Health_Risk_Flag
14,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
11,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban,10–13,High,True,True
18,Female,3.73,TV,True,0.32,Poor Sleep,Urban,14–18,Moderate,False,False
12,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
14,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban,14–18,High,True,True
14,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",Rural,14–18,High,True,True
18,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban,14–18,Moderate,False,False
18,Male,3.53,Tablet,True,0.44,Poor Sleep,Rural,14–18,Moderate,False,False
15,Female,4.94,TV,True,0.36,Poor Sleep,Rural,14–18,High,True,True
12,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban,10–13,High,True,True
11,Male,6.08,TV,True,0.48,Eye Strain,Rural,10–13,Very High,True,True
15,Male,6.15,Smartphone,True,0.4,Poor Sleep,Urban,14–18,Very High,True,True
15,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban,14–18,Moderate,False,False
10,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,10–13,Very High,True,True
13,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban,10–13,Very High,True,True
12,Male,3.82,Smartphone,True,0.4,Anxiety,Urban,10–13,Moderate,False,False
15,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban,14–18,Moderate,False,False
13,Female,4.05,Smartphone,True,0.33,Eye Strain,Urban,10–13,High,True,True
12,Female,6.78,TV,True,0.33,Eye Strain,Urban,10–13,Very High,True,True
8,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,0–9,Moderate,False,False
16,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban,14–18,High,True,True
18,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
18,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban,14–18,High,True,True
14,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural,14–18,High,True,True
11,Female,5.34,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
16,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural,14–18,Moderate,False,False
10,Male,11.68,TV,True,0.47,Poor Sleep,Urban,10–13,Very High,True,True
10,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban,10–13,High,True,True
14,Male,4.21,TV,True,0.38,Poor Sleep,Urban,14–18,High,True,True
12,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
16,Female,3.51,TV,True,0.44,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
14,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
9,Male,7.61,TV,True,0.5,Poor Sleep,Urban,0–9,Very High,True,True
16,Male,6.74,TV,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,14–18,Very High,True,True
17,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
12,Male,6.03,TV,True,0.39,"Poor Sleep, Anxiety",Urban,10–13,Very High,True,True
15,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
10,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural,10–13,Very High,True,True
8,Male,3.47,TV,True,0.41,"Poor Sleep, Obesity Risk",Rural,0–9,Moderate,False,False
11,Female,4.61,Tablet,True,0.46,Poor Sleep,Urban,10–13,High,True,True
11,Male,4.31,TV,True,0.42,Poor Sleep,Urban,10–13,High,True,True
11,Male,3.87,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,10–13,Moderate,False,False
13,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
9,Female,3.8,TV,True,0.53,"Poor Sleep, Eye Strain",Rural,0–9,Moderate,False,False
17,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural,14–18,High,True,True
11,Male,5.12,TV,True,0.31,Poor Sleep,Urban,10–13,High,True,True
15,Female,5.82,TV,True,0.48,Poor Sleep,Urban,14–18,High,True,True
14,Female,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
16,Male,5.79,Smartphone,True,0.35,Poor Sleep,Urban,14–18,High,True,True
12,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban,10–13,Moderate,False,False
12,Male,6.15,Laptop,True,0.41,Poor Sleep,Urban,10–13,Very High,True,True
15,Female,5.72,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
16,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
8,Female,7.54,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,0–9,Very High,True,True
16,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
16,Female,4.78,Tablet,True,0.33,"Poor Sleep, Anxiety",Rural,14–18,High,True,True
15,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,14–18,Moderate,False,False
15,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",Rural,14–18,High,True,True
15,Male,5.91,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
18,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural,14–18,Very High,True,True
