Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural
14,Male,3.99,Smartphone,TRUE,0.42,"Poor Sleep, Eye Strain",Urban
11,Female,4.61,Laptop,TRUE,0.3,Poor Sleep,Urban
18,Female,3.73,TV,TRUE,0.32,Poor Sleep,Urban
15,Female,1.21,Laptop,FALSE,0.39,None,Urban
12,Female,5.89,Smartphone,TRUE,0.49,"Poor Sleep, Anxiety",Urban
14,Female,4.88,Smartphone,TRUE,0.44,Poor Sleep,Urban
17,Male,2.97,TV,FALSE,0.48,None,Rural
10,Male,2.74,TV,TRUE,0.54,None,Urban
14,Male,4.61,Laptop,TRUE,0.36,"Poor Sleep, Anxiety",Rural
18,Male,3.24,Tablet,TRUE,0.48,"Poor Sleep, Obesity Risk",Urban
18,Male,3.53,Tablet,TRUE,0.44,Poor Sleep,Rural
15,Female,4.94,TV,TRUE,0.36,Poor Sleep,Rural
12,Male,4.59,Smartphone,TRUE,0.43,Poor Sleep,Urban
11,Male,6.08,TV,TRUE,0.48,Eye Strain,Rural
15,Male,6.15,Smartphone,TRUE,0.4,Poor Sleep,Urban
15,Female,3.69,Smartphone,TRUE,0.34,Poor Sleep,Urban
10,Female,7.1,Smartphone,TRUE,0.43,"Poor Sleep, Eye Strain",Rural
13,Female,6.98,Smartphone,TRUE,0.48,Obesity Risk,Urban
12,Male,3.82,Smartphone,TRUE,0.4,Anxiety,Urban
9,Female,0,TV,FALSE,0.42,None,Urban
15,Male,3.85,Smartphone,TRUE,0.49,Obesity Risk,Urban
13,Female,4.05,Smartphone,TRUE,0.33,Eye Strain,Urban
9,Female,1.63,Tablet,FALSE,0.58,None,Urban
12,Female,6.78,TV,TRUE,0.33,Eye Strain,Urban
8,Male,3.19,Tablet,TRUE,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban
17,Male,4.96,Smartphone,TRUE,0.32,None,Urban
13,Female,1.85,Smartphone,FALSE,0.49,None,Urban
16,Male,4.22,Smartphone,TRUE,0.5,Poor Sleep,Urban
8,Male,0.31,Smartphone,FALSE,0.51,None,Urban
18,Male,5.13,TV,TRUE,0.43,"Poor Sleep, Obesity Risk",Urban
18,Male,4.45,Smartphone,TRUE,0.48,Eye Strain,Urban
17,Female,3.02,Smartphone,TRUE,0.39,None,Rural
10,Male,2.16,Tablet,TRUE,0.41,None,Urban
14,Male,4.28,Smartphone,TRUE,0.34,Eye Strain,Rural
11,Female,5.34,Smartphone,TRUE,0.4,"Poor Sleep, Eye Strain",Urban
16,Female,3.5,Laptop,TRUE,0.4,"Eye Strain, Obesity Risk",Rural
10,Male,11.68,TV,TRUE,0.47,Poor Sleep,Urban
12,Female,1.63,Smartphone,FALSE,0.5,None,Urban
10,Male,4.63,Smartphone,TRUE,0.47,Poor Sleep,Urban
14,Male,4.21,TV,TRUE,0.38,Poor Sleep,Urban
12,Male,4.56,Smartphone,TRUE,0.5,"Poor Sleep, Eye Strain",Urban
16,Female,3.51,TV,TRUE,0.44,"Poor Sleep, Anxiety",Urban
14,Female,4.69,Smartphone,TRUE,0.35,"Poor Sleep, Eye Strain",Urban
9,Male,7.61,TV,TRUE,0.5,Poor Sleep,Urban
11,Male,2.75,Smartphone,FALSE,0.35,None,Rural
16,Male,6.74,TV,TRUE,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban
9,Female,0,Smartphone,FALSE,0.47,None,Urban
17,Male,2.34,Smartphone,FALSE,0.48,None,Rural
16,Male,2.85,Smartphone,FALSE,0.3,None,Rural
17,Male,4.29,Laptop,TRUE,0.39,"Poor Sleep, Eye Strain",Rural
12,Male,6.03,TV,TRUE,0.39,"Poor Sleep, Anxiety",Urban
9,Female,1.06,Smartphone,FALSE,0.42,None,Urban
11,Male,2.83,Smartphone,FALSE,0.4,None,Urban
14,Male,3.92,Smartphone,TRUE,0.47,None,Urban
15,Male,4.55,Smartphone,TRUE,0.39,"Poor Sleep, Anxiety",Urban
10,Female,6.86,Smartphone,TRUE,0.56,Poor Sleep,Rural
8,Male,3.47,TV,TRUE,0.41,"Poor Sleep, Obesity Risk",Rural
11,Female,4.61,Tablet,TRUE,0.46,Poor Sleep,Urban
9,Male,0,Smartphone,FALSE,0.59,None,Rural
15,Male,3.47,Smartphone,TRUE,0.41,None,Rural
11,Male,4.31,TV,TRUE,0.42,Poor Sleep,Urban
9,Male,2.3,Smartphone,TRUE,0.45,None,Urban
13,Male,4.5,Laptop,TRUE,0.38,None,Urban
13,Female,2.65,Laptop,FALSE,0.38,None,Rural
17,Male,5.34,Laptop,TRUE,0.43,None,Urban
11,Male,3.87,TV,TRUE,0.43,"Poor Sleep, Obesity Risk",Urban
13,Male,5.67,Tablet,TRUE,0.41,"Poor Sleep, Anxiety",Urban
9,Female,3.8,TV,TRUE,0.53,"Poor Sleep, Eye Strain",Rural
17,Male,4.61,TV,TRUE,0.34,"Poor Sleep, Obesity Risk",Rural
9,Male,0.9,Tablet,FALSE,0.6,None,Rural
17,Female,3.3,TV,TRUE,0.42,None,Urban
11,Male,5.12,TV,TRUE,0.31,Poor Sleep,Urban
15,Female,5.82,TV,TRUE,0.48,Poor Sleep,Urban
14,Female,4.27,Smartphone,TRUE,0.47,"Poor Sleep, Eye Strain",Rural
16,Male,5.79,Smartphone,TRUE,0.35,Poor Sleep,Urban
15,Female,2.69,TV,FALSE,0.32,None,Urban
12,Female,3.64,Smartphone,TRUE,0.44,Poor Sleep,Urban
9,Male,4.23,TV,TRUE,0.46,None,Urban
12,Male,6.15,Laptop,TRUE,0.41,Poor Sleep,Urban
15,Female,5.72,Tablet,TRUE,0.33,"Poor Sleep, Eye Strain",Urban
17,Male,3.41,Laptop,TRUE,0.31,None,Rural
16,Male,4.45,Laptop,TRUE,0.48,"Poor Sleep, Eye Strain",Urban
16,Male,2.9,Smartphone,FALSE,0.31,None,Urban
8,Female,7.54,Smartphone,TRUE,0.46,"Poor Sleep, Eye Strain",Urban
16,Male,4.34,Tablet,TRUE,0.48,"Poor Sleep, Anxiety",Urban
14,Female,5.43,Smartphone,TRUE,0.49,None,Urban
16,Female,4.78,Tablet,TRUE,0.33,"Poor Sleep, Anxiety",Rural
15,Female,3.64,Tablet,TRUE,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban
8,Female,1.67,Smartphone,FALSE,0.45,None,Rural
15,Female,4.96,Tablet,TRUE,0.42,"Anxiety, Obesity Risk",Rural
15,Male,5.91,Smartphone,TRUE,0.44,"Poor Sleep, Eye Strain",Urban
18,Female,6.3,Tablet,TRUE,0.39,Poor Sleep,Rural
10,Female,0,Tablet,FALSE,0.4,None,Urban
8,Male,3.39,TV,TRUE,0.43,None,Rural
15,Male,3.57,Smartphone,TRUE,0.32,"Poor Sleep, Obesity Risk",Rural
10,Female,1.36,Smartphone,FALSE,0.57,None,Urban
10,Male,0,Smartphone,FALSE,0.45,None,Rural
8,Male,2.75,TV,TRUE,0.53,None,Rural
18,Female,6.4,Smartphone,TRUE,0.32,None,Urban
12,Female,3.77,Laptop,TRUE,0.48,Poor Sleep,Rural
17,Female,4.73,Smartphone,TRUE,0.47,Poor Sleep,Urban
14,Male,5.76,Tablet,TRUE,0.4,Poor Sleep,Urban
17,Female,2.78,Smartphone,FALSE,0.34,None,Urban
16,Female,3.93,Smartphone,TRUE,0.39,Poor Sleep,Rural
14,Male,4.61,TV,TRUE,0.31,Obesity Risk,Urban
16,Male,5.67,TV,TRUE,0.49,Poor Sleep,Urban
15,Female,4.51,Laptop,TRUE,0.4,Poor Sleep,Urban
9,Female,0.45,Smartphone,FALSE,0.46,None,Rural
8,Male,2.52,Smartphone,TRUE,0.58,None,Urban
14,Male,6.04,Smartphone,TRUE,0.39,None,Urban
14,Female,6.1,Smartphone,TRUE,0.47,Poor Sleep,Rural
15,Male,5.61,Smartphone,TRUE,0.39,Obesity Risk,Urban
12,Male,2.34,Smartphone,FALSE,0.37,None,Urban
10,Male,6.86,TV,TRUE,0.56,Poor Sleep,Urban
15,Female,3.78,Laptop,TRUE,0.31,Poor Sleep,Rural
13,Male,4.67,Smartphone,TRUE,0.44,"Anxiety, Obesity Risk",Urban
18,Male,3.25,Tablet,TRUE,0.45,"Poor Sleep, Eye Strain",Rural
10,Male,4.98,Smartphone,TRUE,0.46,None,Rural
8,Male,5.22,Smartphone,TRUE,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Female,5.02,TV,TRUE,0.6,None,Urban
12,Male,6.06,Smartphone,TRUE,0.43,Eye Strain,Urban
10,Female,1.86,Smartphone,FALSE,0.46,None,Rural
8,Female,6.48,Smartphone,TRUE,0.48,None,Rural
12,Male,4.37,Laptop,TRUE,0.46,Eye Strain,Rural
17,Male,4.16,Laptop,TRUE,0.31,Poor Sleep,Rural
14,Female,3.91,Laptop,TRUE,0.39,Eye Strain,Urban
14,Male,4.54,Laptop,TRUE,0.41,Poor Sleep,Urban
18,Female,4.59,Smartphone,TRUE,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural
16,Female,2.42,Smartphone,FALSE,0.45,None,Urban
17,Male,6.78,Smartphone,TRUE,0.49,Poor Sleep,Urban
17,Female,4.19,TV,TRUE,0.48,Obesity Risk,Rural
10,Female,3.27,TV,TRUE,0.48,"Poor Sleep, Eye Strain",Rural
14,Male,6.01,Tablet,TRUE,0.34,"Poor Sleep, Eye Strain",Urban
8,Female,4.74,Smartphone,TRUE,0.5,"Eye Strain, Obesity Risk",Urban
11,Female,3.42,Smartphone,TRUE,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Female,5.47,Smartphone,TRUE,0.41,"Poor Sleep, Anxiety",Urban
12,Female,6.28,Smartphone,TRUE,0.32,Poor Sleep,Rural
14,Male,3.26,Smartphone,TRUE,0.46,"Poor Sleep, Anxiety",Urban
14,Male,6.06,Smartphone,TRUE,0.38,Anxiety,Urban
18,Female,4.67,TV,TRUE,0.32,Poor Sleep,Urban
11,Male,3.75,Smartphone,TRUE,0.43,None,Urban
14,Female,6.7,Smartphone,TRUE,0.3,"Poor Sleep, Eye Strain",Urban
18,Female,3.58,Smartphone,TRUE,0.38,None,Urban
10,Female,2.51,TV,TRUE,0.47,None,Rural
13,Male,5.24,Smartphone,TRUE,0.43,Poor Sleep,Urban
9,Female,0,Tablet,FALSE,0.49,None,Rural
17,Female,5.14,Smartphone,TRUE,0.36,Poor Sleep,Urban
16,Female,3.7,Tablet,TRUE,0.33,Eye Strain,Urban
12,Male,4.79,TV,TRUE,0.32,Poor Sleep,Urban
13,Male,3.3,Tablet,TRUE,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural
11,Female,5.97,Smartphone,TRUE,0.5,Poor Sleep,Urban
18,Female,3.05,Smartphone,TRUE,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban
17,Female,5.18,Smartphone,TRUE,0.42,Eye Strain,Urban
14,Female,3.66,Laptop,TRUE,0.33,"Poor Sleep, Eye Strain",Urban
16,Male,4.08,Smartphone,TRUE,0.47,None,Urban
14,Female,4.41,TV,TRUE,0.32,None,Urban
8,Female,4.84,Smartphone,TRUE,0.54,Poor Sleep,Urban
8,Female,6.82,Smartphone,TRUE,0.52,None,Rural
16,Female,4.6,Smartphone,TRUE,0.4,Poor Sleep,Urban
18,Female,4.06,Smartphone,TRUE,0.44,Poor Sleep,Urban
16,Female,6.5,TV,TRUE,0.49,None,Urban
11,Female,4.21,TV,TRUE,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural
16,Female,7.07,Laptop,TRUE,0.36,Poor Sleep,Urban
10,Male,2.48,Smartphone,TRUE,0.51,None,Rural
14,Female,4.06,Smartphone,TRUE,0.42,Poor Sleep,Urban
13,Male,3.9,Smartphone,TRUE,0.36,None,Urban
15,Female,2.38,TV,FALSE,0.33,None,Urban
18,Female,6.59,Laptop,TRUE,0.39,Poor Sleep,Rural
16,Male,5.6,Laptop,TRUE,0.4,Poor Sleep,Rural
12,Male,5.32,Laptop,TRUE,0.31,Poor Sleep,Urban
8,Male,4.82,TV,TRUE,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural
10,Male,3.69,TV,TRUE,0.56,Poor Sleep,Urban
17,Male,4.17,TV,TRUE,0.39,Poor Sleep,Urban
15,Male,4.09,TV,TRUE,0.35,"Poor Sleep, Anxiety",Urban
18,Male,5.83,Smartphone,TRUE,0.39,Anxiety,Rural
13,Female,4.74,Laptop,TRUE,0.44,Poor Sleep,Rural
15,Female,4.01,TV,TRUE,0.39,"Poor Sleep, Eye Strain",Urban
16,Female,2.59,Laptop,FALSE,0.44,None,Urban
11,Female,4.94,Smartphone,TRUE,0.45,Poor Sleep,Urban
8,Male,4.15,TV,TRUE,0.59,Eye Strain,Rural
8,Male,0.3,TV,FALSE,0.48,None,Urban
17,Female,4.75,Tablet,TRUE,0.37,Obesity Risk,Rural
11,Male,5.12,Laptop,TRUE,0.48,None,Urban
14,Male,3.2,Smartphone,TRUE,0.4,"Poor Sleep, Obesity Risk",Urban
9,Male,5.72,Smartphone,TRUE,0.51,Eye Strain,Urban
10,Male,6.8,TV,TRUE,0.43,None,Rural
8,Female,4.73,Tablet,TRUE,0.42,"Poor Sleep, Anxiety",Urban
12,Male,1.51,Smartphone,FALSE,0.5,None,Urban
8,Female,7.74,Tablet,TRUE,0.5,Poor Sleep,Urban
15,Female,5.08,Smartphone,TRUE,0.33,"Poor Sleep, Eye Strain",Urban
8,Female,1.13,TV,FALSE,0.41,None,Urban
18,Male,5.12,Smartphone,TRUE,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural
8,Male,6.34,TV,TRUE,0.51,Poor Sleep,Urban
9,Female,5.05,Smartphone,TRUE,0.58,Poor Sleep,Urban
9,Female,0.73,Smartphone,FALSE,0.58,None,Urban
13,Male,5.49,Smartphone,TRUE,0.45,Poor Sleep,Urban
14,Female,4.51,Laptop,TRUE,0.36,Poor Sleep,Urban
12,Male,2.9,Smartphone,FALSE,0.48,None,Urban
8,Male,6.29,Tablet,TRUE,0.49,Poor Sleep,Urban
8,Male,2.1,Smartphone,TRUE,0.5,None,Urban
10,Female,4.53,TV,TRUE,0.47,Poor Sleep,Urban
9,Female,2.44,Tablet,TRUE,0.48,None,Rural
12,Female,2.14,Smartphone,FALSE,0.4,None,Urban
17,Female,2.72,Smartphone,FALSE,0.33,None,Urban
13,Female,4.49,Smartphone,TRUE,0.41,"Poor Sleep, Anxiety",Urban
14,Female,3.15,Tablet,TRUE,0.38,None,Urban
11,Male,3.74,Smartphone,TRUE,0.42,"Eye Strain, Anxiety",Rural
14,Female,3.82,Tablet,TRUE,0.46,Poor Sleep,Urban
18,Female,6.53,TV,TRUE,0.43,Poor Sleep,Urban
15,Female,4.54,Laptop,TRUE,0.46,"Poor Sleep, Eye Strain",Urban
18,Female,3.87,Laptop,TRUE,0.36,None,Urban
8,Female,0.1,Tablet,FALSE,0.5,None,Rural
13,Male,4.44,Smartphone,TRUE,0.39,Poor Sleep,Urban
15,Male,4.75,Smartphone,TRUE,0.44,None,Rural
12,Female,3.65,Tablet,TRUE,0.4,Eye Strain,Urban
11,Male,3.85,Laptop,TRUE,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban
9,Male,2.32,TV,TRUE,0.51,None,Urban
13,Male,3.65,Laptop,TRUE,0.37,"Poor Sleep, Eye Strain",Rural
13,Female,5.78,TV,TRUE,0.43,"Poor Sleep, Obesity Risk",Rural
18,Male,2.96,TV,FALSE,0.43,None,Urban
8,Female,0.91,Smartphone,FALSE,0.43,None,Urban
16,Male,4.17,Smartphone,TRUE,0.36,"Poor Sleep, Eye Strain",Urban
18,Male,3.98,Laptop,TRUE,0.37,Poor Sleep,Urban
13,Male,2.94,Smartphone,FALSE,0.43,None,Urban
10,Female,6.63,TV,TRUE,0.54,"Poor Sleep, Eye Strain",Urban
11,Male,2.9,TV,FALSE,0.36,None,Urban
18,Female,5.84,Smartphone,TRUE,0.43,Eye Strain,Urban
11,Male,4.78,Smartphone,TRUE,0.39,"Poor Sleep, Anxiety",Rural
10,Male,4.13,Smartphone,TRUE,0.4,Poor Sleep,Urban
17,Male,3.67,Smartphone,TRUE,0.34,Poor Sleep,Urban
10,Male,3.02,TV,TRUE,0.46,"Poor Sleep, Obesity Risk",Rural
10,Female,1.92,TV,FALSE,0.41,None,Urban
11,Female,4.16,Laptop,TRUE,0.36,"Anxiety, Obesity Risk",Urban
14,Male,3.9,TV,TRUE,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Female,6.12,TV,TRUE,0.34,None,Urban
16,Male,6.23,Smartphone,TRUE,0.47,Obesity Risk,Rural
8,Male,2.87,Smartphone,TRUE,0.52,None,Urban
15,Male,4.88,Smartphone,TRUE,0.34,"Poor Sleep, Obesity Risk",Urban
14,Female,2.61,Smartphone,FALSE,0.38,None,Rural
9,Female,1.19,Tablet,FALSE,0.45,None,Urban
15,Male,2.54,Laptop,FALSE,0.3,None,Urban
8,Male,5.36,Tablet,TRUE,0.56,Poor Sleep,Urban
18,Male,4.18,TV,TRUE,0.31,None,Urban
16,Male,4.47,TV,TRUE,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban
16,Female,5.91,TV,TRUE,0.38,Anxiety,Rural
9,Female,1.64,Smartphone,FALSE,0.49,None,Urban
14,Female,4.13,Smartphone,TRUE,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Rural
17,Male,1.97,Smartphone,FALSE,0.44,None,Rural
10,Female,0.21,Smartphone,FALSE,0.5,None,Urban
14,Female,3.27,Tablet,TRUE,0.45,"Poor Sleep, Obesity Risk",Urban
17,Female,4.62,Smartphone,TRUE,0.38,None,Urban
16,Female,4.14,Smartphone,TRUE,0.41,"Poor Sleep, Eye Strain",Urban
11,Female,3.82,Laptop,TRUE,0.5,"Eye Strain, Anxiety",Urban
8,Female,4.69,Smartphone,TRUE,0.59,Poor Sleep,Urban
9,Male,3.59,Smartphone,TRUE,0.44,None,Rural
8,Male,3.28,Tablet,TRUE,0.46,Anxiety,Rural
12,Male,3.94,TV,TRUE,0.44,Poor Sleep,Urban
12,Male,6.34,Laptop,TRUE,0.43,None,Rural
18,Female,5.16,Smartphone,TRUE,0.47,Poor Sleep,Urban
14,Male,2.89,Laptop,FALSE,0.4,None,Rural
16,Female,3.73,Laptop,TRUE,0.34,"Poor Sleep, Eye Strain, Anxiety",Rural
16,Male,5.77,Laptop,TRUE,0.41,"Eye Strain, Anxiety",Urban
10,Male,3.57,Smartphone,TRUE,0.52,None,Rural
10,Female,6.58,TV,TRUE,0.52,Poor Sleep,Rural
10,Male,3.2,Smartphone,TRUE,0.55,"Poor Sleep, Eye Strain",Urban
11,Male,2.08,TV,FALSE,0.31,None,Rural
15,Male,4.26,Smartphone,TRUE,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban
13,Male,8.24,TV,TRUE,0.4,Poor Sleep,Urban
15,Male,3.85,Smartphone,TRUE,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban
8,Female,1.63,Smartphone,FALSE,0.59,None,Urban
15,Male,2.2,Smartphone,FALSE,0.44,None,Rural
11,Female,2.73,Tablet,FALSE,0.35,None,Urban
18,Male,5.02,Smartphone,TRUE,0.49,None,Urban
8,Female,4.92,Tablet,TRUE,0.59,"Poor Sleep, Anxiety",Urban
15,Female,4.32,Smartphone,TRUE,0.33,Poor Sleep,Urban
11,Male,3.71,Smartphone,TRUE,0.4,Poor Sleep,Urban
13,Male,4.29,Smartphone,TRUE,0.3,None,Urban
15,Female,6.56,Smartphone,TRUE,0.33,"Poor Sleep, Eye Strain",Urban
11,Male,0.95,Smartphone,FALSE,0.36,None,Urban
10,Female,2,Smartphone,FALSE,0.58,None,Urban
16,Female,3.12,Smartphone,TRUE,0.44,Eye Strain,Urban
10,Female,1.65,Smartphone,FALSE,0.56,None,Urban
16,Male,3.96,Smartphone,TRUE,0.37,Poor Sleep,Urban
9,Female,1.68,TV,FALSE,0.6,None,Rural
9,Female,4.05,TV,TRUE,0.48,None,Urban
9,Male,4.29,Tablet,TRUE,0.53,Poor Sleep,Urban
13,Male,4.46,Laptop,TRUE,0.45,"Poor Sleep, Anxiety",Urban
10,Male,0,TV,FALSE,0.47,None,Rural
16,Male,5.54,Smartphone,TRUE,0.34,None,Rural
11,Female,2.02,Tablet,FALSE,0.39,None,Urban
8,Female,1.67,TV,FALSE,0.56,None,Urban
11,Female,5.3,Tablet,TRUE,0.33,"Poor Sleep, Eye Strain",Urban
8,Female,9.35,Smartphone,TRUE,0.55,Anxiety,Rural
12,Male,3.97,Smartphone,TRUE,0.36,Poor Sleep,Rural
11,Male,4.12,Laptop,TRUE,0.34,None,Urban
15,Male,4.88,Laptop,TRUE,0.43,Eye Strain,Rural
15,Female,5.48,Smartphone,TRUE,0.42,"Eye Strain, Anxiety",Urban
14,Female,3.23,Smartphone,TRUE,0.31,None,Urban
10,Male,5.99,TV,TRUE,0.4,"Poor Sleep, Eye Strain",Urban
8,Male,1.25,Tablet,FALSE,0.4,None,Urban
8,Male,0,Smartphone,FALSE,0.44,None,Urban
18,Male,3.91,Laptop,TRUE,0.43,"Poor Sleep, Eye Strain",Rural
10,Female,8.74,Tablet,TRUE,0.56,Poor Sleep,Urban
13,Female,7.85,TV,TRUE,0.43,"Poor Sleep, Eye Strain",Rural
14,Female,5.76,Smartphone,TRUE,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban
13,Female,3.37,Smartphone,TRUE,0.46,Anxiety,Rural
13,Female,4.11,Laptop,TRUE,0.37,Poor Sleep,Urban
13,Male,4.06,Smartphone,TRUE,0.44,Poor Sleep,Urban
10,Male,2.29,Smartphone,TRUE,0.58,None,Urban
13,Female,1.9,TV,FALSE,0.43,None,Urban
15,Male,3.83,Smartphone,TRUE,0.42,Poor Sleep,Urban
18,Male,4.13,Smartphone,TRUE,0.33,Poor Sleep,Rural
18,Female,3.99,Smartphone,TRUE,0.41,Eye Strain,Rural
9,Male,0,Tablet,FALSE,0.44,None,Urban
12,Male,3.54,TV,TRUE,0.34,"Poor Sleep, Eye Strain",Urban
8,Female,2.4,TV,TRUE,0.44,None,Urban
8,Male,5.51,Smartphone,TRUE,0.6,"Poor Sleep, Obesity Risk",Rural
12,Male,4.68,Tablet,TRUE,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Male,4.05,TV,TRUE,0.42,Poor Sleep,Urban
11,Female,3.97,Smartphone,TRUE,0.36,Eye Strain,Rural
10,Male,9.2,Smartphone,TRUE,0.48,Eye Strain,Urban
8,Male,3.93,Smartphone,TRUE,0.43,None,Urban
8,Female,0,Smartphone,FALSE,0.55,None,Urban
12,Female,3.15,Tablet,TRUE,0.38,"Poor Sleep, Anxiety",Urban
13,Male,2.42,Laptop,FALSE,0.4,None,Urban
10,Female,0.66,Smartphone,FALSE,0.54,None,Urban
16,Female,1.92,Smartphone,FALSE,0.38,None,Urban
12,Male,4.46,Laptop,TRUE,0.3,Poor Sleep,Urban
15,Male,5.57,Smartphone,TRUE,0.44,Eye Strain,Rural
8,Male,6.76,Tablet,TRUE,0.48,"Poor Sleep, Eye Strain",Urban
12,Male,5.69,Smartphone,TRUE,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban
10,Male,4.51,Tablet,TRUE,0.44,None,Urban
8,Female,2.9,Smartphone,TRUE,0.56,None,Urban
11,Male,3.35,Smartphone,TRUE,0.44,Poor Sleep,Rural
12,Male,5.82,TV,TRUE,0.45,"Poor Sleep, Eye Strain, Anxiety",Urban
14,Male,5.09,TV,TRUE,0.43,Poor Sleep,Urban
8,Female,5.49,TV,TRUE,0.46,"Poor Sleep, Obesity Risk",Rural
10,Male,4.1,Tablet,TRUE,0.45,"Poor Sleep, Obesity Risk",Urban
9,Male,6.83,Smartphone,TRUE,0.56,"Poor Sleep, Eye Strain",Rural
16,Male,4.1,TV,TRUE,0.49,None,Rural
17,Female,2.9,Laptop,FALSE,0.35,None,Urban
13,Male,4.78,Smartphone,TRUE,0.46,"Poor Sleep, Anxiety",Urban
17,Female,5.69,Smartphone,TRUE,0.33,None,Urban
10,Male,6.33,Tablet,TRUE,0.5,Poor Sleep,Urban
15,Male,3.14,TV,TRUE,0.37,Anxiety,Urban
